City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,richards bay,-28.783,32.0377,18.3,76,100,5.85,ZA,1724867940
1,thompson,55.7435,-97.8558,19.09,52,40,5.14,CA,1724867942
2,pokhara,28.2333,83.9833,21.77,92,74,0.99,NP,1724867944
3,flying fish cove,-10.4217,105.6791,24.82,83,100,5.66,CX,1724867438
4,ilulissat,69.2167,-51.1,6.01,65,75,3.09,GL,1724867653
5,igarka,67.4667,86.5833,11.02,91,79,0.98,RU,1724867947
6,happy valley-goose bay,53.3168,-60.3315,20.17,45,75,8.23,CA,1724867948
7,lethem,3.3803,-59.7968,33.41,45,10,2.46,GY,1724867950
8,grytviken,-54.2811,-36.5092,3.9,87,100,1.39,GS,1724867951
9,ribeira grande,38.5167,-28.7,27.22,57,40,2.24,PT,1724867952
10,pavlodar,52.3,76.95,11.89,100,0,1.0,KZ,1724867953
11,bumba,2.1833,22.4667,22.2,96,84,0.47,CD,1724867954
12,outokumpu,62.7269,29.0159,15.96,72,97,2.34,FI,1724867956
13,puerto natales,-51.7236,-72.4875,4.25,81,100,10.29,CL,1724867957
14,fort bragg,35.139,-79.006,34.85,48,0,3.6,US,1724867958
15,whitehorse,60.7161,-135.0538,12.83,68,75,8.23,CA,1724867741
16,talnakh,69.4865,88.3972,10.88,91,65,2.31,RU,1724867960
17,blackmans bay,-43.0167,147.3167,7.63,81,92,1.79,AU,1724867962
18,sirsa,29.5333,75.0167,28.6,74,84,2.9,IN,1724867963
19,greymouth,-42.4667,171.2,11.76,97,94,5.45,NZ,1724867964
20,saint-francois,46.4154,3.9054,29.69,48,0,2.57,FR,1724867965
21,hirara,24.8,125.2833,28.92,94,40,2.06,JP,1724867966
22,edinburgh of the seven seas,-37.0676,-12.3116,13.72,93,100,16.94,SH,1724867967
23,hobyo,5.3505,48.5268,25.71,85,13,9.94,SO,1724867969
24,tura,25.5198,90.2201,24.62,89,26,1.39,IN,1724867970
25,port-aux-francais,-49.35,70.2167,4.71,95,100,8.94,TF,1724867971
26,luderitz,-26.6481,15.1594,13.71,58,0,14.79,NA,1724867972
27,vadso,70.0744,29.7487,12.09,76,75,0.0,NO,1724867973
28,bilibino,68.0546,166.4372,-0.28,89,100,2.6,RU,1724867975
29,florence,43.7667,11.25,23.94,75,77,1.28,IT,1724867908
30,taltal,-25.4,-70.4833,15.03,70,10,2.53,CL,1724867977
31,west island,-12.1568,96.8225,26.99,74,20,6.69,CC,1724867978
32,chingirlau,51.095,54.0814,20.93,44,1,2.32,KZ,1724867980
33,jamestown,42.097,-79.2353,29.45,64,75,4.12,US,1724867981
34,iqaluit,63.7506,-68.5145,8.85,66,75,12.35,CA,1724867982
35,khilok,51.3674,110.4676,10.87,92,91,1.96,RU,1724867983
36,bethel,41.3712,-73.414,31.96,67,75,3.09,US,1724867977
37,gizo,-8.103,156.8419,26.69,83,41,6.77,SB,1724867986
38,tralee,52.2704,-9.7026,16.14,67,20,6.69,IE,1724867987
39,lubango,-14.9172,13.4925,21.92,40,14,2.06,AO,1724867988
40,invercargill,-46.4,168.35,9.45,96,55,0.89,NZ,1724867989
41,waitangi,-43.9535,-176.5597,11.01,96,13,2.24,NZ,1724867990
42,udachny,66.4167,112.4,7.36,71,98,1.27,RU,1724867992
43,qaqortoq,60.7167,-46.0333,11.19,87,100,3.0,GL,1724867993
44,saint-philippe,-21.3585,55.7679,20.94,71,47,7.34,RE,1724867994
45,belyy yar,53.6039,91.3903,13.94,88,0,2.0,RU,1724867995
46,kingscliff,-28.2667,153.5667,18.89,94,0,3.6,AU,1724867996
47,ilheus,-14.7889,-39.0494,23.9,94,100,6.17,BR,1724867998
48,vanimo,-2.6741,141.3028,25.57,93,55,2.21,PG,1724867999
49,healesville,-37.65,145.5167,9.69,69,97,1.93,AU,1724868000
50,kinablangan,7.6947,126.5503,24.51,88,100,2.44,PH,1724868001
51,cronulla,-34.05,151.15,16.92,49,100,7.2,AU,1724868002
52,afaahiti,-17.75,-149.2833,24.32,84,52,5.53,PF,1724868004
53,sinabang,2.4803,96.3801,25.79,82,97,1.91,ID,1724868005
54,marsabit,2.3284,37.9899,22.25,56,24,9.32,KE,1724868006
55,banjarmasin,-3.3244,114.591,23.07,90,99,0.1,ID,1724868007
56,chipinge,-20.1883,32.6236,20.51,26,0,1.91,ZW,1724868008
